rate,date,type,source,grate,regime
11.1442,2008-04-16,interbank,NBE,,Meles Zenawi
11.1135,2009-04-01,interbank,NBE,-0.275479621686614,Meles Zenawi
11.1164,2009-04-02,interbank,NBE,0.0260943897062216,Meles Zenawi
11.1192,2009-04-03,interbank,NBE,0.0251880105069935,Meles Zenawi
11.122,2009-04-06,interbank,NBE,0.0251816677458772,Meles Zenawi
11.1248,2009-04-07,interbank,NBE,0.025175328178384,Meles Zenawi
11.1275,2009-04-08,interbank,NBE,0.0242700992377332,Meles Zenawi
11.1303,2009-04-09,interbank,NBE,0.0251628847450114,Meles Zenawi
11.1331,2009-04-10,interbank,NBE,0.0251565546301569,Meles Zenawi
11.1359,2009-04-13,interbank,NBE,0.0251502276993776,Meles Zenawi
11.1387,2009-04-14,interbank,NBE,0.0251439039502976,Meles Zenawi
11.1415,2009-04-15,interbank,NBE,0.0251375833804746,Meles Zenawi
11.147,2009-04-20,interbank,NBE,0.0493649867612023,Meles Zenawi
11.1498,2009-04-21,interbank,NBE,0.0251188660626234,Meles Zenawi
11.1526,2009-04-22,interbank,NBE,0.0251125580727818,Meles Zenawi
11.1554,2009-04-23,interbank,NBE,0.0251062532503621,Meles Zenawi
11.1582,2009-04-24,interbank,NBE,0.0250999515929662,Meles Zenawi
11.1638,2009-04-27,interbank,NBE,0.0501873061963254,Meles Zenawi
11.1666,2009-04-28,interbank,NBE,0.0250810655869849,Meles Zenawi
11.1693,2009-04-29,interbank,NBE,0.0241792488313353,Meles Zenawi
11.1721,2009-04-30,interbank,NBE,0.0250687151388318,Meles Zenawi
11.1752,2009-05-04,interbank,NBE,0.0277476929136045,Meles Zenawi
11.1782,2009-05-06,interbank,NBE,0.0268451571336481,Meles Zenawi
11.1805,2009-05-07,interbank,NBE,0.0205757635397541,Meles Zenawi
11.1841,2009-05-08,interbank,NBE,0.032198917758608,Meles Zenawi
11.1872,2009-05-11,interbank,NBE,0.0277179209771106,Meles Zenawi
11.1902,2009-05-12,interbank,NBE,0.026816361556059,Meles Zenawi
11.1933,2009-05-13,interbank,NBE,0.0277028113885303,Meles Zenawi
11.1963,2009-05-14,interbank,NBE,0.0268017474739368,Meles Zenawi
11.2023,2009-05-18,interbank,NBE,0.0535891321239879,Meles Zenawi
11.2054,2009-05-19,interbank,NBE,0.0276728886032362,Meles Zenawi
11.2084,2009-05-20,interbank,NBE,0.0267728059685446,Meles Zenawi
11.2114,2009-05-21,interbank,NBE,0.0267656400556815,Meles Zenawi
11.2175,2009-05-25,interbank,NBE,0.0544089052214813,Meles Zenawi
11.2205,2009-05-26,interbank,NBE,0.0267439268999414,Meles Zenawi
11.2235,2009-05-27,interbank,NBE,0.0267367764359872,Meles Zenawi
11.2266,2009-05-29,interbank,NBE,0.0276206174544491,Meles Zenawi
11.2299,2009-06-01,interbank,NBE,0.0293944738389396,Meles Zenawi
11.2333,2009-06-02,interbank,NBE,0.030276315906641,Meles Zenawi
11.2367,2009-06-03,interbank,NBE,0.0302671521280606,Meles Zenawi
11.2434,2009-06-05,interbank,NBE,0.059626046793082,Meles Zenawi
11.2468,2009-06-08,interbank,NBE,0.0302399630005334,Meles Zenawi
11.2502,2009-06-09,interbank,NBE,0.0302308212113633,Meles Zenawi
11.2535,2009-06-10,interbank,NBE,0.0293328118611269,Meles Zenawi
11.2569,2009-06-11,interbank,NBE,0.030212822677389,Meles Zenawi
11.2603,2009-06-15,interbank,NBE,0.0302036972879005,Meles Zenawi
11.267,2009-06-16,interbank,NBE,0.059501079012092,Meles Zenawi
11.2704,2009-06-17,interbank,NBE,0.0301766219934496,Meles Zenawi
11.2738,2009-06-18,interbank,NBE,0.0301675184554151,Meles Zenawi
11.2772,2009-06-19,interbank,NBE,0.0301584204083882,Meles Zenawi
11.2806,2009-06-22,interbank,NBE,0.0301493278473286,Meles Zenawi
11.2839,2009-06-23,interbank,NBE,0.029253763097703,Meles Zenawi
11.2873,2009-06-24,interbank,NBE,0.0301314261913044,Meles Zenawi
11.2907,2009-06-25,interbank,NBE,0.0301223498976544,Meles Zenawi
11.2941,2009-06-26,interbank,NBE,0.0301132790703873,Meles Zenawi
11.2975,2009-06-29,interbank,NBE,0.0301042137044849,Meles Zenawi
11.3009,2009-06-30,interbank,NBE,0.0300951537951066,Meles Zenawi
12.3043,2009-07-01,interbank,NBE,8.87893884557867,Meles Zenawi
12.3077,2009-07-02,interbank,NBE,0.0276326162398588,Meles Zenawi
12.3111,2009-07-03,interbank,NBE,0.0276249827343866,Meles Zenawi
11.3145,2009-07-06,interbank,NBE,-8.09513365986792,Meles Zenawi
11.3179,2009-07-07,interbank,NBE,0.0300499359229267,Meles Zenawi
11.3213,2009-07-08,interbank,NBE,0.0300409086491316,Meles Zenawi
11.3247,2009-07-09,interbank,NBE,0.0300318867974436,Meles Zenawi
12.4478,2009-07-13,interbank,NBE,9.91726050138195,Meles Zenawi
12.4496,2009-07-14,interbank,NBE,0.0144603865743331,Meles Zenawi
12.4515,2009-07-15,interbank,NBE,0.0152615345071272,Meles Zenawi
12.4534,2009-07-16,interbank,NBE,0.0152592057181877,Meles Zenawi
12.4553,2009-07-17,interbank,NBE,0.0152568776398354,Meles Zenawi
12.4572,2009-07-20,interbank,NBE,0.0152545502717816,Meles Zenawi
12.4609,2009-07-22,interbank,NBE,0.0297016986160692,Meles Zenawi
12.4627,2009-07-23,interbank,NBE,0.0144451845372373,Meles Zenawi
12.4646,2009-07-24,interbank,NBE,0.0152454925497647,Meles Zenawi
12.4665,2009-07-27,interbank,NBE,0.0152431686536225,Meles Zenawi
12.4683,2009-07-28,interbank,NBE,0.0144386957044773,Meles Zenawi
12.4702,2009-07-29,interbank,NBE,0.0152386452042519,Meles Zenawi
12.4702,2009-07-30,interbank,NBE,0,Meles Zenawi
12.4721,2009-07-31,interbank,NBE,0.0152363233949737,Meles Zenawi
12.4737,2009-08-03,interbank,NBE,0.0128286335099981,Meles Zenawi
12.4753,2009-08-04,interbank,NBE,0.0128269879827281,Meles Zenawi
12.4769,2009-08-05,interbank,NBE,0.0128253428775205,Meles Zenawi
12.4786,2009-08-06,interbank,NBE,0.0136251793314113,Meles Zenawi
12.4802,2009-08-07,interbank,NBE,0.0128219511804195,Meles Zenawi
12.4818,2009-08-10,interbank,NBE,0.0128203073668676,Meles Zenawi
12.4834,2009-08-11,interbank,NBE,0.0128186639747563,Meles Zenawi
12.4851,2009-08-12,interbank,NBE,0.0136180848166356,Meles Zenawi
12.4867,2009-08-13,interbank,NBE,0.0128152758087863,Meles Zenawi
12.4883,2009-08-14,interbank,NBE,0.0128136337062656,Meles Zenawi
12.4899,2009-08-17,interbank,NBE,0.0128119920245418,Meles Zenawi
12.4915,2009-08-18,interbank,NBE,0.0128103507634147,Meles Zenawi
12.4932,2009-08-19,interbank,NBE,0.0136092542929234,Meles Zenawi
12.4948,2009-08-20,interbank,NBE,0.0128069669900421,Meles Zenawi
12.4964,2009-08-21,interbank,NBE,0.0128053270160411,Meles Zenawi
12.498,2009-08-24,interbank,NBE,0.012803687461993,Meles Zenawi
12.4997,2009-08-25,interbank,NBE,0.0136021763482264,Meles Zenawi
12.5013,2009-08-26,interbank,NBE,0.0128003072073613,Meles Zenawi
12.5029,2009-08-27,interbank,NBE,0.0127986689384185,Meles Zenawi
12.5045,2009-08-28,interbank,NBE,0.0127970310887848,Meles Zenawi
12.5062,2009-08-31,interbank,NBE,0.0135951057619321,Meles Zenawi
12.5077,2009-09-01,interbank,NBE,0.0119940509507366,Meles Zenawi
12.5107,2009-09-03,interbank,NBE,0.0239852251013417,Meles Zenawi
12.5122,2009-09-04,interbank,NBE,0.0119897367853117,Meles Zenawi
12.5142,2009-09-07,interbank,NBE,0.0159843992263653,Meles Zenawi
12.5152,2009-09-08,interbank,NBE,0.00799092231225096,Meles Zenawi
12.5167,2009-09-09,interbank,NBE,0.0119854257223162,Meles Zenawi
12.5182,2009-09-10,interbank,NBE,0.0119839893901741,Meles Zenawi
12.5197,2009-09-14,interbank,NBE,0.0119825534022455,Meles Zenawi
12.5212,2009-09-15,interbank,NBE,0.0119811177584195,Meles Zenawi
12.5227,2009-09-16,interbank,NBE,0.0119796824585405,Meles Zenawi
12.5242,2009-09-17,interbank,NBE,0.0119782475025421,Meles Zenawi
12.5257,2009-09-18,interbank,NBE,0.0119768128902464,Meles Zenawi
12.5272,2009-09-21,interbank,NBE,0.0119753786215648,Meles Zenawi
12.5287,2009-09-22,interbank,NBE,0.0119739446963418,Meles Zenawi
12.5302,2009-09-23,interbank,NBE,0.0119725111144886,Meles Zenawi
12.5317,2009-09-24,interbank,NBE,0.0119710778758497,Meles Zenawi
12.5332,2009-09-25,interbank,NBE,0.0119696449803364,Meles Zenawi
12.5347,2009-09-28,interbank,NBE,0.0119682124277931,Meles Zenawi
12.5362,2009-09-29,interbank,NBE,0.0119667802181089,Meles Zenawi
12.5377,2009-09-30,interbank,NBE,0.0119653483511728,Meles Zenawi
12.539,2009-10-01,interbank,NBE,0.0103687279165987,Meles Zenawi
12.5402,2009-10-02,interbank,NBE,0.00957014115958721,Meles Zenawi
12.5402,2009-10-05,interbank,NBE,0,Meles Zenawi
12.5427,2009-10-06,interbank,NBE,0.0199358861900034,Meles Zenawi
12.544,2009-10-07,interbank,NBE,0.0103645945450426,Meles Zenawi
12.5452,2009-10-08,interbank,NBE,0.00956632653059675,Meles Zenawi
12.5465,2009-10-09,interbank,NBE,0.0103625290947873,Meles Zenawi
12.5478,2009-10-12,interbank,NBE,0.0103614553859765,Meles Zenawi
12.549,2009-10-13,interbank,NBE,0.00956342944578026,Meles Zenawi
12.5503,2009-10-14,interbank,NBE,0.0103593911865429,Meles Zenawi
12.5515,2009-10-15,interbank,NBE,0.00956152442572744,Meles Zenawi
12.5528,2009-10-16,interbank,NBE,0.0103573278094071,Meles Zenawi
12.554,2009-10-19,interbank,NBE,0.00955962016442324,Meles Zenawi
12.5553,2009-10-20,interbank,NBE,0.0103552652541028,Meles Zenawi
12.5565,2009-10-21,interbank,NBE,0.00955771666149019,Meles Zenawi
12.5578,2009-10-22,interbank,NBE,0.0103532035200971,Meles Zenawi
12.5591,2009-10-23,interbank,NBE,0.0103521317428301,Meles Zenawi
12.5603,2009-10-26,interbank,NBE,0.00955482478839365,Meles Zenawi
12.5616,2009-10-27,interbank,NBE,0.010350071256271,Meles Zenawi
12.5628,2009-10-28,interbank,NBE,0.00955292319448908,Meles Zenawi
12.5641,2009-10-29,interbank,NBE,0.0103480115897669,Meles Zenawi
12.5653,2009-10-30,interbank,NBE,0.00955102235735694,Meles Zenawi
12.567,2009-11-02,interbank,NBE,0.0135293228175959,Meles Zenawi
12.5686,2009-11-03,interbank,NBE,0.012731757778317,Meles Zenawi
12.5702,2009-11-04,interbank,NBE,0.0127301370080879,Meles Zenawi
12.5719,2009-11-05,interbank,NBE,0.0135240489411492,Meles Zenawi
12.5735,2009-11-06,interbank,NBE,0.0127267954724397,Meles Zenawi
12.5751,2009-11-09,interbank,NBE,0.0127251759653335,Meles Zenawi
12.5768,2009-11-10,interbank,NBE,0.013518779174726,Meles Zenawi
12.5784,2009-11-11,interbank,NBE,0.0127218370332693,Meles Zenawi
12.58,2009-11-12,interbank,NBE,0.012720218787754,Meles Zenawi
12.5817,2009-11-13,interbank,NBE,0.0135135135135078,Meles Zenawi
12.5833,2009-11-16,interbank,NBE,0.012716882456254,Meles Zenawi
12.585,2009-11-17,interbank,NBE,0.0135099695628416,Meles Zenawi
12.5866,2009-11-18,interbank,NBE,0.0127135478744433,Meles Zenawi
12.5882,2009-11-19,interbank,NBE,0.0127119317369306,Meles Zenawi
12.5899,2009-11-20,interbank,NBE,0.0135047107608699,Meles Zenawi
12.5915,2009-11-23,interbank,NBE,0.0127085997505993,Meles Zenawi
12.5931,2009-11-24,interbank,NBE,0.0127069848707473,Meles Zenawi
12.5948,2009-11-25,interbank,NBE,0.0134994560513357,Meles Zenawi
12.5964,2009-11-26,interbank,NBE,0.0127036554768534,Meles Zenawi
12.598,2009-11-30,interbank,NBE,0.0127020418532409,Meles Zenawi
12.5999,2009-12-01,interbank,NBE,0.0150817590093499,Meles Zenawi
12.6018,2009-12-02,interbank,NBE,0.0150794847578295,Meles Zenawi
12.6037,2009-12-03,interbank,NBE,0.0150772111920494,Meles Zenawi
12.6056,2009-12-04,interbank,NBE,0.0150749383117654,Meles Zenawi
12.6075,2009-12-07,interbank,NBE,0.0150726661166445,Meles Zenawi
12.6094,2009-12-08,interbank,NBE,0.0150703946063979,Meles Zenawi
12.6113,2009-12-09,interbank,NBE,0.0150681237806705,Meles Zenawi
12.6132,2009-12-10,interbank,NBE,0.0150658536391957,Meles Zenawi
12.6151,2009-12-11,interbank,NBE,0.0150635841816404,Meles Zenawi
12.6188,2009-12-15,interbank,NBE,0.0293299300045291,Meles Zenawi
12.6207,2009-12-16,interbank,NBE,0.0150568992297151,Meles Zenawi
12.6245,2009-12-18,interbank,NBE,0.030109264937761,Meles Zenawi
12.6264,2009-12-21,interbank,NBE,0.0150501009940962,Meles Zenawi
12.6283,2009-12-22,interbank,NBE,0.0150478362795248,Meles Zenawi
12.6302,2009-12-23,interbank,NBE,0.0150455722464748,Meles Zenawi
12.6321,2009-12-24,interbank,NBE,0.0150433088945467,Meles Zenawi
12.634,2009-12-25,interbank,NBE,0.0150410462235184,Meles Zenawi
12.6359,2009-12-28,interbank,NBE,0.0150387842330124,Meles Zenawi
12.6378,2009-12-29,interbank,NBE,0.0150365229227845,Meles Zenawi
12.6397,2009-12-30,interbank,NBE,0.0150342622924793,Meles Zenawi
12.6416,2009-12-31,interbank,NBE,0.0150320023418304,Meles Zenawi
12.6663,2010-01-21,interbank,NBE,0.195386659916452,Meles Zenawi
12.6701,2010-01-25,interbank,NBE,0.0300008684462005,Meles Zenawi
12.672,2010-01-26,interbank,NBE,0.0149959353122675,Meles Zenawi
12.6739,2010-01-27,interbank,NBE,0.0149936868686806,Meles Zenawi
13.3096,2010-01-29,interbank,NBE,5.01581991336526,Meles Zenawi
13.3117,2010-02-01,interbank,NBE,0.0157780849912914,Meles Zenawi
13.3138,2010-02-02,interbank,NBE,0.0157755959043548,Meles Zenawi
13.316,2010-02-03,interbank,NBE,0.0165242079646744,Meles Zenawi
13.3181,2010-02-04,interbank,NBE,0.0157705016521348,Meles Zenawi
13.3202,2010-02-05,interbank,NBE,0.0157680149570849,Meles Zenawi
13.3224,2010-02-08,interbank,NBE,0.0165162685245024,Meles Zenawi
13.3245,2010-02-09,interbank,NBE,0.0157629255989944,Meles Zenawi
13.3266,2010-02-10,interbank,NBE,0.0157604412923451,Meles Zenawi
13.3288,2010-02-11,interbank,NBE,0.0165083367100305,Meles Zenawi
13.3309,2010-02-12,interbank,NBE,0.0157553568213231,Meles Zenawi
13.333,2010-02-15,interbank,NBE,0.0157528748996771,Meles Zenawi
13.3352,2010-02-16,interbank,NBE,0.0165004125103119,Meles Zenawi
13.3373,2010-02-17,interbank,NBE,0.0157477953086627,Meles Zenawi
13.3394,2010-02-18,interbank,NBE,0.0157453157685561,Meles Zenawi
13.3416,2010-02-19,interbank,NBE,0.0164924959143553,Meles Zenawi
13.348,2010-02-24,interbank,NBE,0.0479702584397668,Meles Zenawi
13.3501,2010-02-25,interbank,NBE,0.015732694036541,Meles Zenawi
13.3549,2010-03-03,interbank,NBE,0.035954786855541,Meles Zenawi
13.3573,2010-03-04,interbank,NBE,0.0179709320174526,Meles Zenawi
13.3597,2010-03-05,interbank,NBE,0.0179677030537562,Meles Zenawi
13.3621,2010-03-08,interbank,NBE,0.0179644752501984,Meles Zenawi
13.3645,2010-03-09,interbank,NBE,0.0179612486061354,Meles Zenawi
13.3669,2010-03-10,interbank,NBE,0.0179580231209453,Meles Zenawi
13.3693,2010-03-11,interbank,NBE,0.0179547987940509,Meles Zenawi
13.3742,2010-03-15,interbank,NBE,0.0366511335671893,Meles Zenawi
13.3766,2010-03-16,interbank,NBE,0.0179449985793445,Meles Zenawi
13.379,2010-03-17,interbank,NBE,0.0179417789273773,Meles Zenawi
13.3814,2010-03-18,interbank,NBE,0.0179385604305304,Meles Zenawi
13.3838,2010-03-19,interbank,NBE,0.0179353430881823,Meles Zenawi
13.3862,2010-03-22,interbank,NBE,0.017932126899689,Meles Zenawi
13.3886,2010-03-23,interbank,NBE,0.017928911864451,Meles Zenawi
13.391,2010-03-24,interbank,NBE,0.0179256979818687,Meles Zenawi
13.3934,2010-03-25,interbank,NBE,0.017922485251276,Meles Zenawi
13.4007,2010-03-30,interbank,NBE,0.0545044574193243,Meles Zenawi
13.4031,2010-03-31,interbank,NBE,0.0179095121896511,Meles Zenawi
13.4053,2010-04-01,interbank,NBE,0.0164141131529183,Meles Zenawi
13.4076,2010-04-05,interbank,NBE,0.0171573929714342,Meles Zenawi
13.4099,2010-04-07,interbank,NBE,0.0171544497150844,Meles Zenawi
13.4145,2010-04-08,interbank,NBE,0.0343030149367207,Meles Zenawi
13.4167,2010-04-09,interbank,NBE,0.0164001640016398,Meles Zenawi
13.419,2010-04-12,interbank,NBE,0.0171428145520069,Meles Zenawi
13.4213,2010-04-13,interbank,NBE,0.0171398762948138,Meles Zenawi
13.4213,2010-04-14,interbank,NBE,0,Meles Zenawi
13.4259,2010-04-15,interbank,NBE,0.0342738780892971,Meles Zenawi
13.4282,2010-04-16,interbank,NBE,0.0171310675634473,Meles Zenawi
13.4304,2010-04-19,interbank,NBE,0.0163834318821499,Meles Zenawi
13.4327,2010-04-20,interbank,NBE,0.017125327614953,Meles Zenawi
13.4373,2010-04-22,interbank,NBE,0.0342447906973353,Meles Zenawi
13.4396,2010-04-23,interbank,NBE,0.017116533827477,Meles Zenawi
13.4419,2010-04-26,interbank,NBE,0.0171136045715725,Meles Zenawi
13.4441,2010-04-27,interbank,NBE,0.0163667338694662,Meles Zenawi
