"Banks_Participated","Highest_Rate","Lowest_Rate","Weighted_Average_Rate","Market_Day"
"9","54.7521","54.7513","54.7517","07/28/2023"
"9","54.7472","54.7464","54.7468","07/27/2023"
"9","54.7374","54.7366","54.7370","07/26/2023"
"9","54.7324","54.7316","54.7320","07/25/2023"
"9","54.7204","54.7196","54.7200","07/24/2023"
"9","54.7149","54.7141","54.7145","07/21/2023"
"9","54.7051","54.7043","54.7047","07/20/2023"
"9","54.7002","54.6994","54.6998","07/19/2023"
"9","54.6898","54.6891","54.6894","07/18/2023"
"9","54.6838","54.6831","54.6834","07/17/2023"
"9","54.6739","54.6731","54.6735","07/14/2023"
"9","54.6684","54.6677","54.6680","07/13/2023"
"9","54.6586","54.6578","54.6582","07/12/2023"
"9","54.6537","54.6529","54.6533","07/11/2023"
"9","54.6422","54.6414","54.6418","07/10/2023"
"9","54.6373","54.6365","54.6369","07/07/2023"
"9","54.6275","54.6267","54.6271","07/06/2023"
"9","54.6209","54.6201","54.6205","07/05/2023"
"9","54.6105","54.6097","54.6101","07/04/2023"
"9","54.6056","54.6048","54.6052","07/03/2023"
"9","54.5947","54.5939","54.5943","06/30/2023"
"9","54.5777","54.5769","54.5773","06/29/2023"
"9","54.5674","54.5667","54.5670","06/27/2023"
"9","54.5509","54.5502","54.5506","06/26/2023"
"9","54.5396","54.5388","54.5392","06/23/2023"
"9","54.5227","54.5219","54.5223","06/22/2023"
"9","54.5118","54.5111","54.5114","06/21/2023"
"9","54.4959","54.4952","54.4956","06/20/2023"
"9","54.4856","54.4848","54.4852","06/19/2023"
"9","54.4687","54.4679","54.4683","06/16/2023"
"9","54.4420","54.4412","54.4416","06/15/2023"
"9","54.4420","54.4412","54.4416","06/14/2023"
"9","54.4306","54.4298","54.4302","06/13/2023"
"9","54.4137","54.4129","54.4133","06/12/2023"
"9","54.4029","54.4021","54.4025","06/09/2023"
"9","54.3865","54.3857","54.3861","06/08/2023"
"9","54.3752","54.3743","54.3747","06/07/2023"
"9","54.3583","54.3575","54.3579","06/06/2023"
"9","54.3479","54.3471","54.3475","06/05/2023"
"9","54.3316","54.3308","54.3312","06/02/2023"
"9","54.3208","54.3201","54.3204","06/01/2023"
"9","54.3045","54.3037","54.3041","05/31/2023"
"9","54.2839","54.2831","54.2835","05/26/2023"
"9","54.2806","54.2798","54.2802","05/25/2023"
"9","54.2719","54.2711","54.2715","05/24/2023"
"9","54.2589","54.2581","54.2585","05/23/2023"
"9","54.2589","54.2581","54.2585","05/22/2023"
"9","54.2551","54.2543","54.2547","05/19/2023"
"9","54.2459","54.2451","54.2455","05/18/2023"
"9","54.2410","54.2402","54.2406","05/17/2023"
"9","54.2334","54.2327","54.2330","05/16/2023"
"9","54.2301","54.2293","54.2297","05/15/2023"
"9","54.2215","54.2207","54.2211","05/12/2023"
"9","54.2171","54.2163","54.2167","05/11/2023"
"9","54.2089","54.2082","54.2086","05/10/2023"
"9","54.2052","54.2044","54.2048","05/09/2023"
"9","54.1971","54.1963","54.1967","05/08/2023"
"9","54.1934","54.1925","54.1929","05/04/2023"
"9","54.1841","54.1833","54.1837","05/03/2023"
"9","54.1797","54.1789","54.1793","05/02/2023"
"9","54.1418","54.1411","54.1414","04/26/2023"
"9","54.1245","54.1237","54.1241","04/25/2023"
"9","54.1136","54.1129","54.1133","04/24/2023"
"9","54.0856","54.0848","54.0852","04/20/2023"
"9","54.0683","54.0675","54.0679","04/19/2023"
"9","54.0579","54.0572","54.0576","04/18/2023"
"9","54.0299","54.0291","54.0295","04/13/2023"
"9","54.0121","54.0113","54.0117","04/12/2023"
"9","54.0023","54.0015","54.0019","04/11/2023"
"9","53.9851","53.9843","53.9847","04/10/2023"
"9","53.9748","53.9741","53.9744","04/07/2023"
"9","53.9569","53.9562","53.9566","04/06/2023"
"9","53.9473","53.9465","53.9469","04/05/2023"
"9","53.9306","53.9298","53.9302","04/04/2023"
"9","53.9193","53.9185","53.9189","04/03/2023"
