date,published_at,CurrencyCode,CurrencyName,CashBuying,CashSelling,TransactionalBuying,TransactionalSelling
2021-04-29,2021-05-05T10:49:25.836Z,USD,US DOLLAR,41.94899999,42.78,41.94,42.78
2021-04-29,2021-05-05T10:49:25.836Z,CNY,CHINESE YUAN,5.85,5.97,6.47,6.6
2021-04-29,2021-05-05T10:49:25.836Z,ZAR,SOUTH AFRICAN RAND,0.0,0.0,2.92,2.98
2021-04-29,2021-05-05T10:49:25.836Z,SDR,SPECIAL DRAWING RIGHT,0.0,0.0,60.24,61.45
2021-04-29,2021-05-05T10:49:25.836Z,AUD,AUSTRALIAN DOLLAR,29.4,29.99,32.49,33.12
2021-04-29,2021-05-05T10:49:25.836Z,KES,KENNYAN SHILLING,0.0,0.0,0.39,0.4
2021-04-29,2021-05-05T10:49:25.836Z,XAF,CENTRAL AFRICA FRANC,0.01,0.01,-0.01,0.01
2021-04-29,2021-05-05T10:49:25.836Z,SAR,SAUDI RIYAL,10.12,10.32,0.0,0.0
2021-04-29,2021-05-05T10:49:25.836Z,CAD,CANADIAN DOLLAR,30.61,31.22,33.82,34.5
2021-04-29,2021-05-05T10:49:25.836Z,JPY,JAPANIS YEN,0.35,0.36,0.39,0.39
2021-04-29,2021-05-05T10:49:25.836Z,INR,INDIAN RUPEE,0.0,0.0,0.56,0.57
2021-04-29,2021-05-05T10:49:25.836Z,DKK,DANISH KRONER,6.16,6.29,6.81,6.95
2021-04-29,2021-05-05T10:49:25.836Z,NOK,NORWEGIAN KRONER,4.59,4.68,5.06,5.18
2021-04-29,2021-05-05T10:49:25.836Z,SEK,SWEDISH KRONER,4.53,4.62,5.01,5.11
2021-04-29,2021-05-05T10:49:25.836Z,CHF,SWISS FRANK,43.79,43.79,45.85,46.77
2021-04-29,2021-05-05T10:49:25.836Z,KWD,KUWAITI DINAR,132.84,135.5,139.1,141.88
2021-04-29,2021-05-05T10:49:25.836Z,AED,UAE DIRHAM,10.33,10.54,0.0,0.0
2021-04-29,2021-05-05T10:49:25.836Z,EUR,EURO,50.63,51.64,50.63,51.64
2021-04-29,2021-05-05T10:49:25.836Z,GBP,POUND STERLING,55.59,56.7,58.21,59.37
2021-04-29,2021-05-05T10:49:25.836Z,DJF,DJIBOUTI FRANC,0.23,0.24,0.23,0.24
2021-05-14,2021-05-15T07:38:34.787Z,XAF,CENTRAL AFRICA FRANC,0.012,0.0122,0.012,0.0122
2021-05-14,2021-05-15T07:38:34.787Z,INR,INDIAN RUPEE,0.0,0.0,0.578,0.5896
2021-05-14,2021-05-15T07:38:34.787Z,KES,KENNYAN SHILLING,0.0,0.0,0.3963,0.4042
2021-05-14,2021-05-15T07:38:34.787Z,AUD,AUSTRALIAN DOLLAR,29.9776,30.5772,33.1244,33.7869
2021-05-14,2021-05-15T07:38:34.787Z,KWD,KUWAITI DINAR,134.5733,137.2648,140.9145,143.7328
2021-05-14,2021-05-15T07:38:34.787Z,ZAR,SOUTH AFRICAN RAND,0.0,0.0,3.0333,3.094
2021-05-14,2021-05-15T07:38:34.787Z,CNY,CHINESE YUAN,5.963,6.0823,6.5889,6.7207
2021-05-14,2021-05-15T07:38:34.787Z,AED,UAE DIRHAM,10.4568,10.6659,0.0,0.0
2021-05-14,2021-05-15T07:38:34.787Z,SDR,SPECIAL DRAWING RIGHT,0.0,0.0,61.2063,62.4304
2021-05-14,2021-05-15T07:38:34.787Z,SAR,SAUDI RIYAL,10.2424,10.4472,0.0,0.0
2021-05-14,2021-05-15T07:38:34.787Z,SEK,SWEDISH KRONER,4.6095,4.7017,5.0934,5.1953
2021-05-14,2021-05-15T07:38:34.787Z,JPY,JAPANIS YEN,0.3533,0.3604,0.3904,0.3982
2021-05-14,2021-05-15T07:38:34.787Z,DJF,DJIBOUTI FRANC,0.2358,0.2405,0.2358,0.2405
2021-05-14,2021-05-15T07:38:34.787Z,DKK,DANISH KRONER,6.2638,6.3891,6.9213,7.0597
2021-05-14,2021-05-15T07:38:34.787Z,NOK,NORWEGIAN KRONER,4.6436,4.7365,5.131,5.2336
2021-05-14,2021-05-15T07:38:34.787Z,CHF,SWISS FRANK,44.8152,45.7115,46.9269,47.8654
2021-05-14,2021-05-15T07:38:34.787Z,EUR,EURO,51.4608,52.49,51.4608,52.49
2021-05-14,2021-05-15T07:38:34.787Z,GBP,POUND STERLING,57.313,58.4593,60.0136,61.2139
2021-05-14,2021-05-15T07:38:34.787Z,USD,US DOLLAR,42.4454,43.2943,42.4454,43.2943
2021-05-14,2021-05-15T07:38:34.787Z,CAD,CANADIAN DOLLAR,31.77,32.4054,35.105,35.8071
2021-05-17,2021-05-17T09:05:43.166Z,XAF,CENTRAL AFRICA FRANC,0.012,0.0122,0.012,0.0122
2021-05-17,2021-05-17T09:05:43.166Z,INR,INDIAN RUPEE,0.0,0.0,0.5805,0.5921
2021-05-17,2021-05-17T09:05:43.166Z,KES,KENNYAN SHILLING,0.0,0.0,0.3962,0.4041
2021-05-17,2021-05-17T09:05:43.166Z,AUD,AUSTRALIAN DOLLAR,29.8133,30.4096,32.9429,33.6018
2021-05-17,2021-05-17T09:05:43.166Z,KWD,KUWAITI DINAR,134.7617,137.4569,141.1117,143.9339
2021-05-17,2021-05-17T09:05:43.166Z,ZAR,SOUTH AFRICAN RAND,0.0,0.0,3.0167,3.077
2021-05-17,2021-05-17T09:05:43.166Z,CNY,CHINESE YUAN,5.9779,6.0975,6.6054,6.7375
2021-05-17,2021-05-17T09:05:43.166Z,AED,UAE DIRHAM,10.4734,10.6829,0.0,0.0
2021-05-17,2021-05-17T09:05:43.166Z,SDR,SPECIAL DRAWING RIGHT,0.0,0.0,61.0437,62.2646
2021-05-17,2021-05-17T09:05:43.166Z,SAR,SAUDI RIYAL,10.2586,10.4638,0.0,0.0
2021-05-17,2021-05-17T09:05:43.166Z,SEK,SWEDISH KRONER,4.6067,4.6988,5.0903,5.1921
2021-05-17,2021-05-17T09:05:43.166Z,JPY,JAPANIS YEN,0.352,0.359,0.3889,0.3967
2021-05-17,2021-05-17T09:05:43.166Z,USD,US DOLLAR,42.5125,43.3628,42.5125,43.3628
2021-05-17,2021-05-17T09:05:43.166Z,GBP,POUND STERLING,57.1721,58.3155,59.8661,61.0634
2021-05-17,2021-05-17T09:05:43.166Z,EUR,EURO,51.5294,52.56,51.5294,52.56
2021-05-17,2021-05-17T09:05:43.166Z,CHF,SWISS FRANK,44.9507,45.8497,47.0688,48.0102
2021-05-17,2021-05-17T09:05:43.166Z,CAD,CANADIAN DOLLAR,31.7074,32.3415,35.0358,35.7365
2021-05-17,2021-05-17T09:05:43.166Z,NOK,NORWEGIAN KRONER,4.6567,4.7498,5.1455,5.2484
2021-05-17,2021-05-17T09:05:43.166Z,DKK,DANISH KRONER,6.271,6.3964,6.9293,7.0679
2021-05-17,2021-05-17T09:05:43.166Z,DJF,DJIBOUTI FRANC,0.2362,0.2409,0.2362,0.2409
2021-05-18,2021-05-18T06:54:42.976Z,SAR,SAUDI RIYAL,10.273,10.4785,0.0,0.0
2021-05-18,2021-05-18T06:54:42.976Z,ZAR,SOUTH AFRICAN RAND,0.0,0.0,3.005,3.0651
2021-05-18,2021-05-18T06:54:42.976Z,SDR,SPECIAL DRAWING RIGHT,0.0,0.0,61.2489,62.4739
2021-05-18,2021-05-18T06:54:42.976Z,AUD,AUSTRALIAN DOLLAR,29.8669,30.4642,33.0021,33.6621
2021-05-18,2021-05-18T06:54:42.976Z,KES,KENNYAN SHILLING,0.0,0.0,0.3964,0.4043
2021-05-18,2021-05-18T06:54:42.976Z,INR,INDIAN RUPEE,0.0,0.0,0.5808,0.5924
2021-05-18,2021-05-18T06:54:42.976Z,XAF,CENTRAL AFRICA FRANC,0.012,0.0122,-0.028,0.0122
2021-05-18,2021-05-18T06:54:42.976Z,AED,UAE DIRHAM,10.4881,10.6978,0.0,0.0
2021-05-18,2021-05-18T06:54:42.976Z,KWD,KUWAITI DINAR,132.9882,137.688,141.3489,144.1759
2021-05-18,2021-05-18T06:54:42.976Z,CNY,CHINESE YUAN,5.9817,6.1013,6.6069,6.7418
2021-05-18,2021-05-18T06:54:42.976Z,CAD,CANADIAN DOLLAR,31.8098,32.446,35.1489,35.8519
2021-05-18,2021-05-18T06:54:42.976Z,DJF,DJIBOUTI FRANC,0.2365,0.2412,0.2365,0.2412
2021-05-18,2021-05-18T06:54:42.976Z,DKK,DANISH KRONER,6.3023,6.4283,6.9639,7.1032
2021-05-18,2021-05-18T06:54:42.976Z,NOK,NORWEGIAN KRONER,4.6587,4.7519,5.1477,5.2507
2021-05-18,2021-05-18T06:54:42.976Z,SEK,SWEDISH KRONER,4.6169,4.7092,5.1015,5.2035
2021-05-18,2021-05-18T06:54:42.976Z,CHF,SWISS FRANK,45.134,46.0347,47.2607,48.2059
2021-05-18,2021-05-18T06:54:42.976Z,EUR,EURO,51.7808,52.8164,51.7808,52.8164
2021-05-18,2021-05-18T06:54:42.976Z,GBP,POUND STERLING,57.3299,58.4765,60.0313,61.2319
2021-05-18,2021-05-18T06:54:42.976Z,USD,US DOLLAR,42.5724,43.4238,42.5724,43.4238
2021-05-18,2021-05-18T06:54:42.976Z,JPY,JAPANIS YEN,0.353,0.3601,0.39,0.3978
