currency_id,currency_name,currency_code,date,buying,selling
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2023-10-09,5.0088,5.0589
01hccadrabmb0fb757f4d09v9g,US DOLLAR,USD,2023-10-09,55.2931,55.846
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2023-10-09,60.3636,60.9673
01hccadragtwvf1xa9qcfadn41,SWIDISH KNRONER,SEK,2023-10-09,4.9992,5.0492
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2023-10-09,7.786,7.8639
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2023-10-09,0.3097,0.319
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2023-10-09,0.664,0.6707
01hccadranckd8vetw7ca8ef28,KENYAN SHILLING,KES,2023-10-09,0.3713,0.3825
01hccadrapzdjbbxb2pgdgfkbp,JAPANESE YEN,JPY,2023-10-09,0.3701,0.3738
01hccadrae4tmhz5kqtkhq2rr3,POUND STERLING,GBP,2023-10-09,67.1037,67.7747
01hccadrarzxbt9gfyk2cxb5vn,AUSTRALIAN DOLLAR,AUD,2023-10-09,35.0116,35.3617
01hccadraxrgm2gyc039fnt6dd,KUWAITI DINAR,KWD,2023-10-09,178.6797,180.4664
01hccadraw6qj2h560vdnzvv07,CHINESE YUAN,CNY,2023-10-09,7.5723,7.648
01hccadraw6qj2h560vdnzvv06,SOUTH AFRICAN RAND,ZAR,2023-10-09,2.8282,2.8565
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2023-10-09,40.3364,40.7397
01hccadratqj2hq49k86vr0nyy,EURO,EUR,2023-10-09,58.0522,58.6327
01hccadrasnh4xq05xxqfaah9b,UAE DIRHAM,AED,2023-10-09,15.0531,15.2036
01hccadrasnh4xq05xxqfaah9a,SAUDI RIYAL,SAR,2023-10-09,14.7421,14.8895
01hccadravryrxerw8h7rrjeqs,SDR,XDR,2023-10-09,72.4395,73.1639
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2023-10-10,0.664,0.6707
01hccadrabmb0fb757f4d09v9g,US DOLLAR,USD,2023-10-10,55.3042,55.8572
01hccadrae4tmhz5kqtkhq2rr3,POUND STERLING,GBP,2023-10-10,67.2776,67.9503
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2023-10-10,60.8073,61.4153
01hccadragtwvf1xa9qcfadn41,SWIDISH KNRONER,SEK,2023-10-10,5.0206,5.0708
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2023-10-10,5.0716,5.1224
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2023-10-10,7.8089,7.887
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2023-10-10,0.3097,0.319
01hccadranckd8vetw7ca8ef28,KENYAN SHILLING,KES,2023-10-10,0.3712,0.3823
01hccadrapzdjbbxb2pgdgfkbp,JAPANESE YEN,JPY,2023-10-10,0.3707,0.3745
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2023-10-10,40.4655,40.8702
01hccadraw6qj2h560vdnzvv07,CHINESE YUAN,CNY,2023-10-10,7.5838,7.6597
